Old list,Replacement
Aberdeenshire,Aberdeenshire
Angus,Angus
Argyll and Bute,Argyll and Bute
Bedfordshire,Bedfordshire
Berkshire,Berkshire
Bristol,Bristol
Buckinghamshire,Buckinghamshire
Cambridgeshire,Cambridgeshire
Cheshire,Cheshire
City of Aberdeen,Aberdeenshire
City of Dundee,Dundee
City of Edinburgh,Edinburgh
City of Glasgow,Glasgow
Clackmannanshire,Clackmannanshire
Clwyd,Denbighshire
Cornwall,Cornwall
County Antrim,County Antrim
County Armagh,County Armagh
County Down,County Down
County Durham,County Durham
County Fermanagh,County Fermanagh
County Londonderry,County Londonderry
County Tyrone,County Tyrone
Cumbria,Cumbria
Derbyshire,Derbyshire
Devon,Devon
Dorset,Dorset
Dumfries and Galloway,Dumfries and Galloway
Dyfed,Pembrokeshire
East Ayrshire,Ayrshire
East Dunbartonshire,Dunbartonshire
East Lothian,East Lothian
East Renfrewshire,Renfrewshire
East Riding of Yorkshire,East Riding of Yorkshire
East Sussex,East Sussex
Essex,Essex
Falkirk,Falkirk
Fife,Fife
Gloucestershire,Gloucestershire
Greater London,Greater London
Gwynedd,Gwynedd
Hampshire,Hampshire
Herefordshire,Herefordshire
Hertfordshire,Hertfordshire
Highland,Highland
Inverclyde,Inverclyde
Isle of Wight,Isle of Wight
Isles of Scilly,Cornwall
Kent,Kent
Lancashire,Lancashire
Leicestershire,Leicestershire
"Lincolnshire - East Midlands region (includes Boston, East Lindsey, Lincoln, North Kesteven, South Holland, South Kesteven, West Lindsey)",Lincolnshire
"Lincolnshire - Yorkshire & The Humber region (includes North East Lincolnshire, North Lincolnshire)",Lincolnshire
Manchester,Greater Manchester
Merseyside,Merseyside
Mid Glamorgan,Glamorgan
Midlothian,Midlothian
Monmouthsire,Monmouthshire
Moray,Moray
Na h-Eileanan Siar-Western isles,Western Isles
Norfolk,Norfolk
North Ayrshire,Ayrshire
North Lanarkshire,Lanarkshire
"North Yorkshire - Yorkshire & The Humber region (includes Craven, Hambleton, Harrogate, Richmondshire, Ryedale, Scarborough, Selby, York)",North Yorkshire
"North Yorkshire - North East England region (includes Middlesbrough, Redcar and Cleveland, Stockton-on-Tees)",North Yorkshire
Northamptonshire,Northamptonshire
Northumberland,Northumberland
Nottinghamshire,Nottinghamshire
Orkney Islands,Orkney
Oxfordshire,Oxfordshire
Perth and Kinross,Perth and Kinross
Powys,Powys
Renfrewshire,Renfrewshire
Rutland,Rutland
Scottish Borders,Scottish Borders
Shetland Islands,Shetland Isles
Shropshire,Shropshire
Somerset,Somerset
South Ayrshire,Ayrshire
South Glamorgan,Glamorgan
South Lanarkshire,Lanarkshire
South Yorkshire,South Yorkshire
Staffordshire,Staffordshire
Stirling,Stirlingshire
Suffolk,Suffolk
Surrey,Surrey
Tyne and Wear,Tyne and Wear
Warwickshire,Warwickshire
West Dunbartonshire,Dunbartonshire
West Glamorgan,Glamorgan
West Lothian,West Lothian
West Midlands,West Midlands
West Sussex,West Sussex
West Yorkshire,West Yorkshire
Wiltshire,Wiltshire
Worcestershire,Worcestershire
